date	Power Effectiveness Usage	Power for ICT (KWh)	Power for Cooling (KWh)
15-04-17 00:00	1.1875	547.0000041	23433035.74
16-04-17 00:00	1.1875	547.562261	23457669.93
17-04-17 00:00	1.1875	550.3850204	23579147.86
18-04-17 00:00	1.1875	548.5190803	23499757.29
19-04-17 00:00	1.1875	541.5093056	23199984.71
20-04-17 00:00	1.1875	547.7711933	23468811.71
21-04-17 00:00	1.1875	541.826711	23214667.03
22-04-17 00:00	1.1875	538.1269542	23056688.38
23-04-17 00:00	1.1875	533.5642954	22861729.41
24-04-17 00:00	1.1875	544.2057337	23318229.32
25-04-17 00:00	1.1875	538.2389909	23063103.44
26-04-17 00:00	1.1875	536.7750822	23000912.92
27-04-17 00:00	1.1875	547.3297003	23453727.61
28-04-17 00:00	1.1875	538.7317714	23085834.88
29-04-17 00:00	1.1875	544.528395	23334777.41
30-04-17 00:00	1.1875	536.1423862	22975946.34
01-05-17 00:00	1.1875	513.4709708	22004894.73
02-05-17 00:00	1.1875	502.1214108	21519009.33
03-05-17 00:00	1.1875	508.5868922	21796603.8
04-05-17 00:00	1.1875	514.0392123	22030788.94
05-05-17 00:00	1.1875	513.9664279	22028183.5
06-05-17 00:00	1.1875	504.6051328	21627470.61
07-05-17 00:00	1.1875	507.576892	21755348.34
08-05-17 00:00	1.1875	510.4336701	21878303.67
09-05-17 00:00	1.1875	498.1267839	21351301.74
10-05-17 00:00	1.1875	499.9233125	21428806.6
11-05-17 00:00	1.1875	510.0997527	21865521.54
12-05-17 00:00	1.1875	508.6003	21801755.82
13-05-17 00:00	1.1875	499.4287388	21409105.39
