date	Power Effectiveness Usage	Power for ICT (KWh)	Power for Cooling (KWh)
13-05-17 03:00	1.434	503	218
13-05-17 04:00	1.434	504	219
13-05-17 05:00	1.428	498	213
13-05-17 06:00	1.43	499	214
13-05-17 07:00	1.433	498	215
13-05-17 08:00	1.434	499	217
13-05-17 09:00	1.439	498	218
13-05-17 10:00	1.436	497	217
13-05-17 11:00	1.441	498	220
13-05-17 12:00	1.441	497	219
13-05-17 13:00	1.44	497	219
13-05-17 14:00	1.445	496	220
13-05-17 16:00	1.445	498	222
13-05-17 17:00	1.444	502	223
13-05-17 18:00	1.443	504	223
13-05-17 19:00	1.448	505	227
13-05-17 20:00	1.443	506	224
13-05-17 21:00	1.45	508	229
13-05-17 23:00	1.449	510	229
14-05-17 00:00	1.455	514	234
14-05-17 01:00	1.451	512	231
14-05-17 02:00  1.441   497 219
