date	Power Effectiveness Usage	Power for ICT (KWh)	Power for Cooling (KWh)
08-05-17 00:00	1.462	503	230
08-05-17 06:00	1.462	502	227
08-05-17 12:00	1.461	496	220
08-05-17 18:00	1.457	496	220
09-05-17 00:00	1.458	499	221
09-05-17 06:00	1.453	497	220
09-05-17 12:00	1.451	500	221
09-05-17 18:00	1.452	500	219
10-05-17 00:00	1.455	497	216
10-05-17 06:00	1.452	499	220
10-05-17 12:00	1.45	503	221
10-05-17 18:00	1.45	505	223
11-05-17 00:00	1.454	508	226
11-05-17 06:00	1.457	508	222
11-05-17 12:00	1.454	505	221
11-05-17 18:00	1.455	511	226
12-05-17 00:00	1.457	504	219
12-05-17 06:00	1.457	507	224
12-05-17 12:00	1.46	508	222
12-05-17 18:00	1.471	513	210
13-05-17 00:00	1.472	504	220
13-05-17 06:00	1.469	502	218
13-05-17 18:00	1.468	509	225
14-05-17 00:00	1.453	497	221
